Sno,Channel Name,Channel Language,Channel Description,Channel Id,Channel Image
1,Aaj Tak,Hindi,,UCt4t-jeY85JegMlZ-E5UWtA,https://yt3.ggpht.com/-ZE5JmiUBlGo/AAAAAAAAAAI/AAAAAAAAAAA/JU-NHnMeaY8/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
2,ABN Telugu,Telugu,"Official Youtube Channel of ABN Andhrajyothy

ABN Andhrajyothy, the no 1 Telugu news channel, a 24/7 LIVE news channel dedicated to live reports, exclusive interviews, breaking news, sports, weather, entertainment, business updates and current affairs.",UC_2irx_BQR7RsBKmUV9fePQ,https://yt3.ggpht.com/-ti-zg9xYLRI/AAAAAAAAAAI/AAAAAAAAAAA/aq1kYiQtyx8/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
3,Al Jazeera English,English,"At Al Jazeera English, we focus on people and events that affect people's lives. We bring topics to light that often go under-reported, listening to all sides of the story and giving a 'voice to the voiceless.'

Reaching more than 282 million households in over 140 countries across the globe, our viewers trust Al Jazeera English to keep them informed, inspired, and entertained.

Our impartial, fact-based reporting wins worldwide praise and respect. It is our unique brand of journalism that the world has come to rely on.

We are reshaping global media and constantly working to strengthen our reputation as one of the world's most respected news and current affairs channels.

Subscribe to our channel: http://bit.ly/AJSubscribe
Follow us on Twitter: https://twitter.com/AJEnglish
Find us on Facebook: https://www.facebook.com/aljazeera
Check our website: http://www.aljazeera.com/",UCNye-wNBqNL5ZzHSJj3l8Bg,https://yt3.ggpht.com/-8IFpTckNBOQ/AAAAAAAAAAI/AAAAAAAAAAA/D3as0FRtFfo/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
4,asianetnews,Malayalam,"The most trusted Malayalam News Television channel for the Malayalee
Get the latest Malayalam National International   Entertainment News",UCf8w5m0YsRa8MHQ5bwSGmbw,https://yt3.ggpht.com/-CvV0HzsT-1A/AAAAAAAAAAI/AAAAAAAAAAA/bi4dfDmGtaU/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
5,Btv Kannada Live ,Kannada,,UCBbk45MUqChSTBvEROAeq-Q,https://yt3.ggpht.com/-BYTNgS_drgM/AAAAAAAAAAI/AAAAAAAAAAA/CX_h8nqZqSc/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
6,CVR English Official,English,"The Channels CVR News and CVR Health are from the stable of Image Hospitals Group, an institution of excellence in corporate healthcare with decades plus of experience.


CVR News was launched on Sep 20, 2012 with the objective of providing news and current affairs with an innovative and daring approach. CVR News will not be limited to just airing news for its own sake. 


The channel intends to go in-depth into the machinations behind the misappropriation of crores of rupees of government exchequer because of undue political and bureaucratic influence. 


In this regard, CVR News will not spare any personality -- political or otherwise, and will continually persist in exposing scams of all kinds and shaming people behind such frauds.


CVR News is a pure-play news channel and fully focuses on news and current affairs. There is no place for meaningless entertainment and time-pass programs on the channel.",UCo1SikMuMQ1jDQBwO9N0ocA,https://yt3.ggpht.com/-69AjWAyWDQQ/AAAAAAAAAAI/AAAAAAAAAAA/r5YSIJNejos/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
7,CVR Telugu News,Telugu,"The Channels CVR News and CVR Health are from Image Hospitals Group, an institution of excellence in corporate healthcare with decades plus of experience.

CVR News was launched on Sep 20, 2012 with the objective of providing news and current affairs with an innovative and daring approach. CVR News will not be limited to just airing news for its own sake. 

The channel intends to go in-depth into the machinations behind the misappropriation of crores of rupees of government exchequer because of undue political and bureaucratic influence. 

In this regard, CVR News will not spare any personality -- political or otherwise, and will continually persist in exposing scams of all kinds and shaming people behind such frauds.

CVR News is a pure-play news channel and fully focuses on news and current affairs. There is no place for meaningless entertainment and time-pass programs on the channel.",UCixD-KrpjXtMupkzkdFFlFg,https://yt3.ggpht.com/-EkeXBQ4cYsU/AAAAAAAAAAI/AAAAAAAAAAA/snn7J_s5uQQ/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
8,DD News,Hindi,"Official Youtube channel of DD News, a 24*7 terrestrial cum satellite News Channel of India's Public Service Broadcaster.",UCKwucPzHZ7zCUIf7If-Wo1g,https://yt3.ggpht.com/-To2bJ5pE_qo/AAAAAAAAAAI/AAAAAAAAAAA/U5H5BPelJts/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
9,Dighvijay News,Kannada,Dighvijay news live is the Kannada news channel in Karnataka. Dighvijay news live streaming,UCU_Dzyqehuz3pVbZrOqOT3A,https://yt3.ggpht.com/-gm04iSp9B_I/AAAAAAAAAAI/AAAAAAAAAAA/TxctBdhqFtM/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
10,DW English,English,"Deutsche Welle is Germany's international broadcaster, producing TV, Radio and Internet programming for you in 30 languages - wherever you are in the world.

Please help us to keep discussions on this channel clean and agreeable and refrain from using racist or sexist slurs as well as personal insults.

For further information please click the ""DW Netiquette"" link below.",UCknLrEdhRCp1aegoMqRaCZg,https://yt3.ggpht.com/-9Ir29NdKHLU/AAAAAAAAAAI/AAAAAAAAAAA/zRjtXkXQptw/s240-c-k-no-mo-rj-c0xffffff/photo.jpg
